run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	612.18	12243.54	52.27	356.70	4.36	2079.26	NA	0.00
2	570.50	11409.93	56.06	383.33	4.23	1844.95	NA	0.00
3	576.36	11527.25	55.22	376.49	4.20	1931.13	NA	0.00
4	593.60	11872.01	53.90	356.70	4.26	1999.99	NA	0.00
5	631.26	12625.21	50.69	308.84	4.31	2443.36	NA	0.00
6	587.86	11757.18	54.43	363.18	4.36	1709.71	NA	0.00
7	559.16	11183.12	57.22	411.96	4.37	2473.92	NA	0.00
8	558.68	11173.65	56.57	390.30	4.29	1864.59	NA	0.00
9	551.21	11024.25	57.74	434.83	4.32	2632.09	NA	0.00
10	524.23	10484.64	60.22	404.61	4.37	2418.49	NA	0.00
